year,month,journal,count,alpha,ci_lower,ci_upper
2021,1,IEEE Journal of Selected Topics in Signal Processing,11,0.0,0.0,0.4557738635344045
2021,3,ENGLISH HISTORICAL REVIEW,31,0.0,0.0,0.3989725757765666
2021,3,ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,19,0.06831168168533135,0.009417780260918154,0.3612041410366022
2021,4,Journal of Function Spaces,39,0.051698089417823063,0.007263840230663624,0.28885574018628685
2021,3,ENGINEERING FRACTURE MECHANICS,45,0.0,0.0,0.11575401655009172
2021,3,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,20,0.09451547561747167,0.004556769577017361,0.7041546064708647
2021,3,ENGINEERING WITH COMPUTERS,49,0.040019356399398825,0.006184186700517376,0.21830979729640415
2021,1,Nutrition Journal,11,0.0,0.0,0.6005589673309879
2021,1,IEEE Open Journal of Intelligent Transportation Systems,36,0.1547873942876107,0.05532694163054842,0.36412786092806815
2021,2,Acta Geotechnica,20,0.0,0.0,0.1243766686619243
2021,3,JOURNAL OF ECONOMIC ENTOMOLOGY,27,0.06750704487171078,0.009614309801036084,0.35059669320410186
2021,3,ENGINEERING GEOLOGY,29,0.0,0.0,0.4009189874234802
2021,2,Accounts of Materials Research,10,0.10990434804784027,0.015138479414759924,0.49795606676898246
2021,3,JOURNAL OF DENTISTRY,15,0.0,0.0,0.1830061725160782
2021,1,IEEE Open Journal of Power Electronics,51,0.046299583139286386,0.0038458873455465563,0.37906101318757357
2021,2,Acta Neuropathologica Communications,14,0.0,0.0,0.5117695120333929
2021,1,IEEE Open Journal of Industry Applications,31,0.10183340828557876,0.017161546831822843,0.424027612496908
2021,3,ENGINEERING STRUCTURES,128,0.041556469982187406,0.014851370451270132,0.11087696433513046
2021,3,JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY,38,0.03052258007429316,7.005945045742488e-05,0.9339811182795862
2021,1,IEEE Open Journal of the Communications Society,153,0.04305714076064566,0.010276272668796382,0.1631680041048874
2021,3,JOURNAL OF DENTAL RESEARCH,28,0.10468977723796881,0.016801167006084233,0.44448616615088504
2021,1,OBESITY SURGERY,75,0.0,0.0,0.17707905049476072
2021,2,Acta Orthopaedica,12,0.0,0.0,0.5904871339474225
2021,1,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,806,0.028581593396947137,0.015368432644491059,0.05254862127584057
2021,1,IEEE NETWORK,38,0.0,0.0,0.35518945019742726
2021,2,Acta Crystallographica Section D-Structural Biology,13,0.0,0.0,0.3733971312267228
2021,1,OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,15,0.0,0.0,0.6191234917328282
2021,1,IEEE Open Journal of Vehicular Technology,30,0.0686088153549094,0.010169779355750162,0.3456074626357552
2021,2,Acta Biomaterialia,41,0.08343603372074164,0.01908553956651318,0.29868893222317994
2021,3,JOURNAL OF DRUG TARGETING,14,0.0,0.0,0.5050705540981342
2021,1,OBSTETRICAL & GYNECOLOGICAL SURVEY,17,0.16001258402865265,0.02214280455293481,0.6157581623075838
2021,1,IEEE Open Journal of the Computer Society,33,0.0,0.0,0.11230985814839459
2021,1,OBSTETRICS AND GYNECOLOGY,25,0.0,0.0,0.5691915622384954
2021,2,Acta Physiologica,22,0.15275650242487493,0.043840532720919,0.41485757098148285
2021,3,JOURNAL OF ECOLOGY,24,0.0,0.0,0.22359983860914817
2021,2,Actas Dermo-Sifiliograficas,10,0.0,0.0,0.8623164353087664
2021,2,Acta Pharmaceutica Sinica B,20,0.12411385675576063,0.020009512384419715,0.49581548651770424
2021,1,Toxins,79,0.09959653459831654,0.03136245967212063,0.2742526254076435
2021,2,MATERIALS AND STRUCTURES,16,0.0,0.0,0.6293029145408287
2021,1,Tourist Studies,11,0.0,0.0,0.6237110699465152
2021,2,MATERIALS & DESIGN,84,0.06476046583632916,0.01661231261372433,0.22108487112596836
2021,4,SPORT EDUCATION AND SOCIETY,16,0.0,0.0,0.4624937224861533
2021,4,Acta Crystallographica Section D-Structural Biology,13,0.0,0.0,0.598249591438765
2021,2,CHINESE MEDICAL JOURNAL,37,0.22212138690281225,0.10249327162512582,0.4165701197316549
2021,4,Acta Orthopaedica,11,0.0,0.0,0.7492488643300019
2021,2,MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,116,0.0466906544844968,0.01539386503216938,0.13301979308802747
