paper_id,ai_word_freq,date,journal_name,has_ai_policy,is_oa
https://openalex.org/W4225400651,0,2022-05-04,International Journal of Legal Medicine,True,True
https://openalex.org/W4312447517,2,2022-01-01,Open Mathematics,False,True
https://openalex.org/W4401340555,19,2024-08-05,Clinical Research in Cardiology,True,True
https://openalex.org/W4390546653,74,2024-01-03,Signal Transduction and Targeted Therapy,False,True
https://openalex.org/W4225571424,82,2022-04-19,Journal of Business Ethics,True,True
https://openalex.org/W4304480089,5,2022-10-11,European Child & Adolescent Psychiatry,True,True
https://openalex.org/W4223477217,37,2022-04-04,Innovative Higher Education,True,False
https://openalex.org/W4283814979,0,2022-07-05,Frontiers in Immunology,True,True
https://openalex.org/W4213215738,4,2021-04-01,European Psychiatry,False,True
https://openalex.org/W3166160356,0,2021-05-18,Nature,False,True
https://openalex.org/W4284892194,10,2022-07-08,Cell Death and Disease,False,False
https://openalex.org/W4291285552,10,2022-08-10,PLoS ONE,True,True
https://openalex.org/W4223938051,13,2022-04-18,Journal of Wood Science,True,True
https://openalex.org/W4366985933,16,2023-04-25,Nature Communications,False,True
https://openalex.org/W4385669247,3,2023-03-01,European Psychiatry,False,True
https://openalex.org/W3126838184,4,2021-02-01,Preventing Chronic Disease,False,True
https://openalex.org/W4365512590,3,2023-04-01,Comparative Studies in Society and History,False,True
https://openalex.org/W4394763012,5,2024-04-12,ACS Infectious Diseases,True,False
https://openalex.org/W3179813350,34,2021-07-16,Scientific Reports,False,True
https://openalex.org/W4283579763,0,2022-06-27,Scientific Reports,False,True
https://openalex.org/W3208487261,6,2021-10-25,Cell Death and Disease,False,False
https://openalex.org/W4362587822,3,2023-04-03,Frontiers in Insect Science,True,True
https://openalex.org/W4389618692,2,2023-12-12,Anuario de Historia de la Iglesia,False,True
https://openalex.org/W3133985682,3,2023-01-13,Quantum,False,False
https://openalex.org/W4307313867,0,2022-10-26,Virtual Reality,True,True
https://openalex.org/W4283261346,2,2022-06-21,Obesity Surgery,True,True
https://openalex.org/W4396929048,1,2024-05-15,Scientific Reports,False,True
https://openalex.org/W4389726591,26,2023-12-14,npj Science of Learning,True,True
